NIa-Pro	VPg	Lin	SMV-P	Y2H	2	1	1
NIa-Pro	NIa-Pro	Lin	SMV-P	Y2H	3	1	1
NIa-Pro	NIb	Lin	SMV-P	Y2H	3	1	1
NIa-Pro	CP	Lin	SMV-P	Y2H	1	1	1
							
NIb	P1	Lin	SMV-P	Y2H	0	0	1
NIb	HC-Pro	Lin	SMV-P	Y2H	2	1	1
NIb	P3	Lin	SMV-P	Y2H	2	1	1
NIb	6K1	Lin	SMV-P	Y2H	3	1	1
NIb	CI	Lin	SMV-P	Y2H	2	1	1
NIb	6K2	Lin	SMV-P	Y2H	2	1	1
NIb	VPg	Lin	SMV-P	Y2H	2	1	1
NIb	NIa-Pro	Lin	SMV-P	Y2H	3	1	1
NIb	NIb	Lin	SMV-P	Y2H	2	1	1
NIb	CP	Lin	SMV-P	Y2H	2	1	1
							
CP	P1	Lin	SMV-P	Y2H	0	0	1
CP	HC-Pro	Lin	SMV-P	Y2H	1	1	1
CP	P3	Lin	SMV-P	Y2H	0	0	1
CP	6K1	Lin	SMV-P	Y2H	0	0	1
CP	CI	Lin	SMV-P	Y2H	0	0	1
CP	6K2	Lin	SMV-P	Y2H	0	0	1
CP	VPg	Lin	SMV-P	Y2H	0	0	1
CP	NIa-Pro	Lin	SMV-P	Y2H	1	1	1
CP	NIb	Lin	SMV-P	Y2H	2	1	1
CP	CP	Lin	SMV-P	Y2H	2	1	1
							
							
P1	P1	Lin	SYSV-O	Y2H	3	1	1
P1	HC-Pro	Lin	SYSV-O	Y2H	0	0	1
P1	P3	Lin	SYSV-O	Y2H	1	1	1
P1	6K1	Lin	SYSV-O	Y2H	2	1	1
P1	CI	Lin	SYSV-O	Y2H	2	1	1
P1	6K2	Lin	SYSV-O	Y2H	0	0	1
P1	VPg	Lin	SYSV-O	Y2H	2	1	1
P1	NIa-Pro	Lin	SYSV-O	Y2H	2	1	1
P1	NIb	Lin	SYSV-O	Y2H	0	0	1
P1	CP	Lin	SYSV-O	Y2H	2	1	1
							
HC-Pro	P1	Lin	SYSV-O	Y2H	0	0	1
HC-Pro	HC-Pro	Lin	SYSV-O	Y2H	3	1	1
HC-Pro	P3	Lin	SYSV-O	Y2H	2	1	1
HC-Pro	6K1	Lin	SYSV-O	Y2H	0	0	1
HC-Pro	CI	Lin	SYSV-O	Y2H	0	0	1
HC-Pro	6K2	Lin	SYSV-O	Y2H	0	0	1
HC-Pro	VPg	Lin	SYSV-O	Y2H	2	1	1
HC-Pro	NIa-Pro	Lin	SYSV-O	Y2H	1	1	1
HC-Pro	NIb	Lin	SYSV-O	Y2H	0	0	1
HC-Pro	CP	Lin	SYSV-O	Y2H	1	1	1
							
P3	P1	Lin	SYSV-O	Y2H	1	1	1
P3	HC-Pro	Lin	SYSV-O	Y2H	2	1	1
